Key,en,de 
manage_my_polling_stations.removal_unallowed_dialog.description,"The polling station cannot be removed from your list because it contains data (Polling station information and/or Form answers) which cannot be deleted by the system on your behalf. If you want to remove this polling station, please clear polling station information and form answers manually, then retry this action.","Das Wahllokal kann nicht aus Ihrer Liste entfernt werden, da es Daten enthält (Informationen zum Wahllokal und/oder Formularantworten), die vom System nicht in Ihrem Namen gelöscht werden können. Wenn Sie dieses Wahllokal entfernen möchten, löschen Sie bitte die Informationen zum Wahllokal und die Formularantworten manuell und wiederholen Sie dann diesen Vorgang."
manage_my_polling_stations.delete_success,Polling station deleted successfully!,Wahllokal erfolgreich gelöscht!
manage_my_polling_stations.delete_error,We encountered a problem while deleting the polling station visit. Please try again.,Beim Löschen des besuchten Wahllokals ist ein Problem aufgetreten. Bitte versuchen Sie es erneut.
manage_my_polling_stations.offline_error_toast_msg,You need an internet connection in order to perform this action.,"Sie benötigen eine Internetverbindung, um diese Aktion auszuführen."
quick_report.list.title,Quick Report,Kurzbericht
quick_report.list.heading,My reported issues,Meine gemeldeten Vorkommnise
quick_report.list.error,Error while loading the reports!,Fehler beim Laden der Berichte!
quick_report.list.empty,"Start sending quick reports to the organization if you notice irregularities inside, outside the polling station or whenever needed.","Senden Sie umgehend Kurzberichte an die Organisation, wenn Sie Unregelmäßigkeiten innerhalb oder außerhalb des Wahllokals bemerken oder wann immer dies erforderlich ist."
quick_report.list.add,Report new issue,Neue Vorkommnisse melden
quick_report.list.no_files,No attached files,Keine angehängten Dateien
quick_report.list.attachment_one,{{count}} attachment file,{{count}} angehängte Datei 
quick_report.list.attachment_other,{{count}} attachment files,{{count}} angehängte Dateien
quick_report.attachments.heading,Uploaded media,Hochgeladene Medien
quick_report.attachments.loading,Adding attachment... ,Anhang hinzufügen...
quick_report.attachments.upload.preparing,Preparing attachment...,Anhang wird vorbereitet...
quick_report.attachments.upload.starting,Starting the upload...,Hochladen wird gestartet...
quick_report.attachments.upload.progress,Upload progress:,Fortschritt beim Hochladen:
quick_report.attachments.upload.completed,Upload completed.,Hochladen abgeschlossen.
quick_report.attachments.upload.aborted,Upload aborted.,Hochladen abgebrochen.
quick_report.attachments.error,Error while sending the attachment!,Fehler beim Senden des Anhangs!
quick_report.options_menu.manage_my_polling_stations,Manage my polling stations,Meine Wahllokale verwalten
quick_report.info_modal.p1,"From this section, you can quickly report any electoral irregularities you observe at polling stations or nearby areas.","In diesem Abschnitt können Sie schnell alle Unregelmäßigkeiten bei Wahlen melden, die Sie in Wahllokalen oder deren Umgebung beobachten."
quick_report.info_modal.p2,"This feature allows you to alert the organization instantly, outside the regular observation forms, ensuring urgent issues are addressed promptly.","Mit dieser Funktion können Sie die Organisation außerhalb der regulären Beobachtungsformulare sofort benachrichtigen und so sicherstellen, dass dringende Vorkommnisse umgehend behandelt werden."
report_new_issue.title,Report new issue,Neue Vorkommnisse melden
report_new_issue.upload.compressing,Compressing attachment: ,Anhang komprimieren
report_new_issue.upload.preparing,Preparing attachment...,Anhang wird vorbereitet...
report_new_issue.upload.starting,Starting the upload...,Hochladen wird gestartet...
report_new_issue.upload.progress,Uploading attachments: ,Hochladen-Fortschritt:
report_new_issue.upload.completed,Upload completed.,Hochladen abgeschlossen.
report_new_issue.upload.aborted,Upload aborted.,Hochladen abgebrochen.
report_new_issue.upload.offline,You need an internet connection in order to perform this action.,"Sie benötigen eine Internetverbindung, um diese Aktion auszuführen."
report_new_issue.media.heading,Uploaded media,Hochgeladene Medien
report_new_issue.media.add,Add media,Medien hinzufügen
report_new_issue.media.error,Error while sending the attachment!,Fehler beim Senden des Anhangs!
report_new_issue.media.menu.load,Load from gallery,Aus Galerie laden
report_new_issue.media.menu.take_picture,Take a photo,Bild aufnehmen
report_new_issue.media.menu.record_video,Record video,Video aufnehmen
report_new_issue.media.menu.upload_audio,Upload audio file,Audiodatei hochladen
report_new_issue.form.polling_station_id.label,Polling station *,Wahllokal *
report_new_issue.form.polling_station_id.placeholder,Select polling station,Wahllokal auswählen
report_new_issue.form.polling_station_id.extra,"Please write here some identification details for this polling station (such as address, name, number, etc.)","Bitte geben Sie hier einige Identifikationsdaten für dieses Wahllokal an (z. B. Adresse, Name, Nummer usw.)."
report_new_issue.form.polling_station_id.required,This field is required.,Dieses Feld ist ein Pflichtfeld.
report_new_issue.form.polling_station_id.options.other,Other polling station,Anderes Wahllokal
report_new_issue.form.polling_station_id.options.not_related,Not related to a polling station,Nicht mit einem Wahllokal verbunden
report_new_issue.form.incident_category.label,Incident category *,Vorfallkategorie *
report_new_issue.form.incident_category.placeholder,Category,Kategorie
report_new_issue.form.incident_category.required,This field is required.,Dieses Feld ist ein Pflichtfeld.
report_new_issue.form.incident_category.options.PhysicalViolenceIntimidationPressure,Physical violence/intimidation/pressure,Körperliche Gewalt/Einschüchterung/Druck
report_new_issue.form.incident_category.options.CampaigningAtPollingStation,Campaigning at the polling station,Wahlkampf im Wahllokal
report_new_issue.form.incident_category.options.RestrictionOfObserversRights,Restriction of observer's (representative's/media) rights,Einschränkung der Rechte von Beobachtern (Vertretern/Medien)
report_new_issue.form.incident_category.options.UnauthorizedPersonsAtPollingStation,Unauthorized person(s) at the polling station,Unbefugte Person(en) im Wahllokal
report_new_issue.form.incident_category.options.ViolationDuringVoterVerificationProcess,Violation during voter verification process,Verstoß während des Wählerüberprüfungsprozesses
report_new_issue.form.incident_category.options.VotingWithImproperDocumentation,Voting with improper documentation,Wählen mit unzulässigen Dokumenten
report_new_issue.form.incident_category.options.IllegalRestrictionOfVotersRightToVote,Illegal restriction of voter's right to vote,Illegale Einschränkung des Wahlrechts der Wählenden
report_new_issue.form.incident_category.options.DamagingOrSeizingElectionMaterials,Damaging of/seizing election materials,Beschädigung/Beschlagnahmung von Wahlmaterialien
report_new_issue.form.incident_category.options.ImproperFilingOrHandlingOfElectionDocumentation,Improper filing/handling of election documentation,Unsachgemäße Einreichung/Behandlung von Wahlunterlagen
report_new_issue.form.incident_category.options.BallotStuffing,Ballot stuffing,Stopfen von Stimmzetteln
report_new_issue.form.incident_category.options.ViolationsRelatedToControlPaper,Violations related to the control paper,Verstöße im Zusammenhang mit dem Kontrollzettel
report_new_issue.form.incident_category.options.NotCheckingVoterIdentificationSafeguardMeasures,Not checking the voter identification safeguard measures,Nichtüberprüfung der Sicherheitsmaßnahmen zur Wähleridentifizierung
report_new_issue.form.incident_category.options.VotingWithoutVoterIdentificationSafeguardMeasures,Voting without voter identification safeguard measures,Wählen ohne Maßnahmen zum Schutz der Wähleridentität
report_new_issue.form.incident_category.options.BreachOfSecrecyOfVote,Breach of secrecy of vote,Verletzung des Wahlgeheimnisses
report_new_issue.form.incident_category.options.ViolationsRelatedToMobileBallotBox,Violations related to the mobile ballot box,Verstöße im Zusammenhang mit der mobilen Wahlurne
report_new_issue.form.incident_category.options.NumberOfBallotsExceedsNumberOfVoters,Number of ballots exceed the number of voters,Die Anzahl der Stimmzettel übersteigt die Anzahl der Wählenden
report_new_issue.form.incident_category.options.ImproperInvalidationOrValidationOfBallots,Improper invalidation/validation of ballots,Unzulässige Ungültigkeitserklärung/Gültigkeitserklärung von Stimmzetteln
report_new_issue.form.incident_category.options.FalsificationOrImproperCorrectionOfFinalProtocol,Falsification/improper correction of the final protocol,Fälschung/unzulässige Korrektur des Abschlussprotokolls
report_new_issue.form.incident_category.options.RefusalToIssueCopyOfFinalProtocolOrIssuingImproperCopy,Refusal to issue a copy of the final protocol/issuing an improper copy,Verweigerung der Ausstellung einer Kopie des endgültigen Protokolls/Ausstellung einer unzulässigen Kopie
report_new_issue.form.incident_category.options.ImproperFillingInOfFinalProtocol,Improper filling in of the final protocol,Unsachgemäßes Ausfüllen des Abschlussprotokolls
report_new_issue.form.incident_category.options.ViolationOfSealingProceduresOfElectionMaterials,Violation of the sealing procedures of the election materials,Verstoß gegen die Versiegelungsverfahren für Wahlunterlagen
report_new_issue.form.incident_category.options.ViolationsRelatedToVoterLists,Violations related to the voter lists,Verstöße im Zusammenhang mit den Wählendenlisten
report_new_issue.form.incident_category.options.Other,Other,Sonstiges
report_new_issue.form.polling_station_details.label,Polling station details *,Angaben zum Wahllokal *
report_new_issue.form.polling_station_details.placeholder,"Please write here some identification details for this polling station (such as address, name, number, etc.)","Bitte geben Sie hier einige Identifikationsdaten für dieses Wahllokal an (z. B. Adresse, Name, Nummer usw.)."
report_new_issue.form.polling_station_details.required,This field is required.,Dieses Feld ist ein Pflichtfeld.
report_new_issue.form.polling_station_details.max,Input cannot exceed {{value}} characters,Die Eingabe darf {{value}} Zeichen nicht überschreiten.
report_new_issue.form.issue_title.label,Title of issue *,Titel des Vorfalls *
report_new_issue.form.issue_title.placeholder,Write a title for the issue.,Schreiben Sie einen Titel für den Vorfall.
report_new_issue.form.issue_title.required,Title of the issue is required,Ein Titel des Vorfalls ist erforderlich.
report_new_issue.form.issue_title.max,Input cannot exceed {{value}} characters,Die Eingabe darf {{value}} Zeichen nicht überschreiten.
report_new_issue.form.issue_description.label,Description *,Beschreibung *
report_new_issue.form.issue_description.placeholder,Describe the situation in detail here.,Beschreiben Sie die Situation hier ausführlich.
report_new_issue.form.issue_description.required,Description of the issue is required,Eine Beschreibung des Vorfalls ist erforderlich.
report_new_issue.form.issue_description.max,Input cannot exceed {{value}} characters,Die Eingabe darf {{value}} Zeichen nicht überschreiten.
report_new_issue.form.submit,Submit issue,Vorfall melden
report_new_issue.form.clear,Clear,Löschen
report_new_issue.form.loading,Processing...,Wird verarbeitet...
report_new_issue.form.error,Error while adding the report,Fehler beim Hinzufügen des Berichts
report_details.title,,
report_details.uploaded_media,Uploaded media,Hochgeladene Medien
report_details.no_files,No attached files,Keine angehängten Dateien
report_details.error,Error while loading the report,Fehler beim Laden des Berichts
guides.title,Resources,Ressourcen
guides.empty.heading,No guides to read yet,Noch keine Leitfäden zum Lesen
guides.empty.paragraph,Guides and resources from your organization at your hands.,Leitfäden und Ressourcen Ihrer Organisation griffbereit.
guides.list.heading,Guides,Leitfäden  
guides.list.guide.backup_title,Document,Dokument
guides.list.guide.created_on,Created on,Erstellt am
guides.options_sheet.manage_my_polling_stations,Manage my polling stations,Meine Wahllokale verwalten
guides.info_modal,"In this section, expect to have key information and resources designed to help you observe electoral processes and report any electoral issues or irregularities you encounter as an independent observer.","In diesem Abschnitt finden Sie wichtige Informationen und Ressourcen, die Ihnen dabei helfen sollen, Wahlprozesse zu beobachten und als unabhängige*r Beobachter*in aufgetretene Wahlprobleme oder Unregelmäßigkeiten zu melden."
resources.title,Resources,Ressourcen
resources.info,"In this section, expect to have key information and resources designed to help you observe electoral processes and report any electoral issues or irregularities you encounter as a citizen.","In diesem Abschnitt finden Sie wichtige Informationen und Ressourcen, die Ihnen dabei helfen sollen, Wahlprozesse zu beobachten und als Bürger*in aufgetretene Wahlprobleme oder Unregelmäßigkeiten zu melden."
resources.empty.heading,No guides to read yet,Noch keine Leitfäden zum Lesen
resources.empty.paragraph,Guides and resources about observing electoral processes and reporting issues as a citizen at your hands.,Leitfäden und Ressourcen zur Beobachtung von Wahlprozessen und zur Meldung von Problemen als Bürger in Ihren Händen.
resources.types.Document,Filetype PDF,Dateityp PDF
resources.types.Website,External URL,Externe URL
resources.types.Text,In app guide,In-App-Anleitung
inbox.title,Inbox,Posteingang
inbox.empty.heading,No message received yet,Noch keine Nachricht erhalten
inbox.empty.paragraph,Push messages and alerts from your organization will appear here.,Push-Nachrichten und Warnmeldungen von Ihrer Organisation werden hier angezeigt.
inbox.banner,Messages from {{ngoName}},Nachrichten von {{ngoName}}
inbox.today,Today,Heute
inbox.your_organization,your organization,Ihre Organisation
inbox.menu.manage_polling_stations,Manage my polling stations,Meine Wahllokale verwalten
inbox.info_modal.p1,In this Inbox expect to receive live updates and messages from the NGO that accredited you as an observer.,"In diesem Posteingang erhalten Sie Live-Updates und Nachrichten von der NGO, die Sie als Beobachter akkreditiert hat."
inbox.info_modal.p2,"Check back periodically to see if you have received any new information, relevant to your observation activity.","Schauen Sie regelmäßig nach, ob Sie neue Informationen erhalten haben, die für Ihre Beobachtungsaktivität relevant sind."
updates.title,Updates,Aktualisierungen
updates.empty.heading,No updates received yet,Noch keine Updates erhalten
updates.empty.paragraph,Updates about electoral period will appear here.,Aktuelle Informationen zur Wahlperiode werden hier veröffentlicht.
updates.info_modal.p1,In this section expect to receive live updates from the Vote Monitor team regarding election period relevant to you as a citizen interested in civic engagement.,"In diesem Abschnitt erhalten Sie Live-Updates vom Vote Monitor-Team zu Wahlperioden, die für Sie als Bürger mit Interesse an bürgerschaftlichem Engagement relevant sind."
updates.info_modal.p2,Check back periodically to see if you have received any new information.,"Schauen Sie regelmäßig nach, ob Sie neue Informationen erhalten haben."
more.title,More,Mehr
more.change-language,Change app language,App-Sprache ändern
more.change-password,Change password,Passwort ändern
more.terms,Terms and Conditions,Allgemeine Geschäftsbedingungen
more.privacy_policy,Privacy Policy,Datenschutzerklärung
more.about,About Vote Monitor,Über Vote Monitor
more.app_version,Vote Monitor version {{value}},Vote Monitor version {{value}}
more.support,Call the NGO Hotline,Rufen Sie die NGO-Hotline an
more.feedback,Offer app feedback,Feedback zur App geben
more.logout,Logout,Abmelden
more.logged_in,Logged in as {{user}},Angemeldet als {{user}}
more.warning_modal.logout_offline.title,Attention: You have unsynced data,Achtung: Sie haben nicht synchronisierte Daten.
more.warning_modal.logout_offline.description,"You are currently offline. If you log out now, any forms, attachments, or notes you have completed or uploaded during the offline mode will be lost.

To avoid losing your data, please reconnect to the internet before logging out.","Sie sind derzeit offline. Wenn Sie sich jetzt abmelden, gehen alle Formulare, Anhänge oder Notizen, die Sie im Offline-Modus ausgefüllt oder hochgeladen haben, verloren. Um Datenverlust zu vermeiden, stellen Sie bitte vor dem Abmelden erneut eine Verbindung zum Internet her."
more.warning_modal.logout_offline.cancel,Cancel,Abbrechen
more.warning_modal.logout_offline.action,Logout,Abmelden
more.warning_modal.logout_online.title,Are you sure you want to logout?,Möchten Sie sich wirklich abmelden?
more.warning_modal.logout_online.cancel,Cancel,Abbrechen
more.warning_modal.logout_online.action,Logout,Abmelden
more.feedback_toast.success,Feedback sent!,Feedback gesendet!
more.feedback_toast.offline,You need an internet connection in order to perform this action.,"Sie benötigen eine Internetverbindung, um diese Aktion auszuführen."
more.feedback_toast.error,Error while adding feedback!,Fehler beim Hinzufügen von Feedback!
more.feedback_toast.required,This field is required,Dieses Feld ist ein Pflichtfeld.
more.feedback_sheet.heading,Send us your feedback,Senden Sie uns Ihr Feedback
more.feedback_sheet.p1,"Please tell us about any issues you might have encountered with the functioning of the app, or any suggestions you would like to share to improve Vote Monitor for the future. We appreciate every feedback!","Bitte teilen Sie uns alle Probleme mit, die Sie möglicherweise mit der Funktionsweise der App hatten, oder alle Vorschläge, die Sie zur Verbesserung von Vote Monitor für die Zukunft machen möchten. Wir freuen uns über jedes Feedback!"
more.feedback_sheet.placeholder,Write your feedback here...,Schreiben Sie hier Ihr Feedback...
more.feedback_sheet.cancel,Cancel,Abbrechen
more.feedback_sheet.action,Send,Senden  
more.feedback_sheet.input.max,Input cannot exceed {{value}} characters,Die Eingabe darf {{value}} Zeichen nicht überschreiten.
more.options_sheet.manage_my_polling_stations,Manage my polling stations,Meine Wahllokale verwalten
change_password.title,Change password,Passwort ändern
change_password.form.current_password.label,Current password *,Aktuelles Passwort *
change_password.form.current_password.placeholder,Insert current password,Aktuelles Passwort eingeben
change_password.form.current_password.required,Password is mandatory,Ein Passwort ist erforderlich.
change_password.form.current_password.credentials_error,The current password is incorrect,Das aktuelle Passwort ist falsch.
change_password.form.new_password.label,New password *,Neues Passwort *
change_password.form.new_password.placeholder,Insert new password,Neues Passwort eingeben
change_password.form.new_password.helper,Must be at least 8 characters,Muss mindestens 8 Zeichen lang sein
change_password.form.new_password.required,The new password is mandatory,Das neue Passwort ist erforderlich.
change_password.form.confirm_password.label,Confirm new password *,Neues Passwort bestätigen *
change_password.form.confirm_password.placeholder,Confirm password,Passwort bestätigen
change_password.form.confirm_password.helper,Both passwords must match.,Beide Passwörter müssen übereinstimmen.
change_password.form.confirm_password.required,The new password is mandatory,Das neue Passwort ist erforderlich.
change_password.form.confirm_password.no_match,Passwords do not match,Passwörter stimmen nicht überein
change_password.form.save,Save new password,Neues Passwort speichern
change_password.confirmation.heading,Password changed!,Passwort geändert!
change_password.confirmation.paragraph,Your password has been successfully changed.,Ihr Passwort wurde erfolgreich geändert.
change_password.confirmation.confirm,Back to app,Zurück zur App
change_password.error.offline,App is offline and cannot do the request,Die App ist offline und kann die Anfrage nicht ausführen.
generic_error_screen.paragraph1,"Oops, something went wrong!","Hoppla, etwas ist schiefgelaufen!"
generic_error_screen.paragraph2,We could not recover after this error. Please check your internet connection and restart the application!,Nach diesem Fehler konnten wir den Vorgang nicht fortsetzen. Bitte überprüfen Sie Ihre Internetverbindung und starten Sie die Anwendung neu!
generic_error_screen.retry,Retry,Wiederholen
generic_error_screen.logout,Logout,Abmelden
network_banner.online,App online. All answers sent to server.,App online. Alle Antworten werden an den Server gesendet.
network_banner.offline,Offline mode. Saving answers locally.,Offline-Modus. Antworten werden lokal gespeichert.
network_banner.offline_citizen,Offline mode. You need internet to submit the form.,"Offline-Modus. Sie benötigen eine Internetverbindung, um das Formular zu senden."
network_banner.more_details,More Details,Weitere Details
network_banner.offline_warning,"It looks like you're currently offline. Don't worry, your answers are safely stored locally and will be synced with our servers once your connection is restored. Feel free to continue filling out the observation forms and submitting quick reports.","Es sieht so aus, als wären Sie derzeit offline. Keine Sorge, Ihre Antworten werden lokal gespeichert und mit unseren Servern synchronisiert, sobald Ihre Verbindung wiederhergestellt ist. Sie können gerne weiter die Beobachtungsformulare ausfüllen und Kurzberichte einreichen."
network_banner.offline_warning_citizen,"It looks like you're currently offline. In order to submit the form, you need to be online.","Es sieht so aus, als wären Sie derzeit offline. Um das Formular zu senden, müssen Sie online sein."
sync.sync_data,Synchronizing offline data...,Offline-Daten werden synchronisiert...
sync.warning,Please DO NOT CLOSE the app or the internet connection or the data will be lost.,"Bitte schließen Sie die App NICHT und unterbrechen Sie die Internetverbindung NICHT, da sonst die Daten verloren gehen."
sync.files,"We are uploading your files, it may take a while...","Wir laden Ihre Dateien hoch, dies kann einen Moment dauern..."
delete_submission.title,Review submission before deleting,Überprüfung des Eintrags vor dem Löschen
delete_submission.description,"This action cannot be undone. Once deleted, no data from this submission can be recovered.",Diese Aktion kann nicht rückgängig gemacht werden. Nach dem Löschen können keine Daten aus dieser Übermittlung wiederhergestellt werden.
delete_submission.header,Delete Submission #{{submissionNumber}},Beitrag Nr. {{submissionNumber}} löschen
delete_submission.attachments,Attachments: {{value}},Anhänge: {{value}}
delete_submission.notes,Notes: {{value}},Anmerkungen: {{value}}
delete_submission.delete,Delete submission,Eintrag löschen
delete_submission.warning_dialog.title,Are you sure you want to delete this submission?,Möchten Sie diesen Eintrag wirklich löschen?
delete_submission.warning_dialog.description,This action cannot be undone.,Diese Aktion kann nicht rückgängig gemacht werden.
delete_submission.warning_dialog.cancel,Cancel,Abbrechen
delete_submission.warning_dialog.delete,Delete,Löschen
form_submission_card.header,Submission #{{value}},Eintrag Nr. {{value}}
form_submission_card.last_updated_at,Last updated at:,Zuletzt aktualisiert am:
form_submission_card.form_status,Form status:,Formularstatus:
form_submission_card.answered_questions,Answered questions:,Beantwortete Fragen:
form_submission_card.attachments,Attachments:,Anhänge:
form_submission_card.notes,Notes:,Anmerkungen: