Key,en,ka,hy,ru,az
polling_station_form_wizard.attachments.add,Add notes and media,"ჩანაწერისა და მედიის დამატება
",,,Qeydlər və medianın əlavə edilməsi
polling_station_form_wizard.attachments.menu.add_note,Add note,ჩანაწერის დამატება,,,Qeydin əlavə edilməsi
polling_station_form_wizard.attachments.menu.load,Load from gallery,გალერეიდან ჩატვირთვა,,,Qalereyadan yükləmə
polling_station_form_wizard.attachments.menu.take_picture,Take a photo,ფოტოს გადაღება,,,Şəkil çəkdirmək
polling_station_form_wizard.attachments.menu.record_video,Record a video,ვიდეოს ჩაწერა,,,Video yazmaq
polling_station_form_wizard.attachments.menu.upload_audio,Upload audio file,აუდიო ფაილის ატვირთვა,,,Audio faylın yüklənməsi
polling_station_form_wizard.notes.heading,Notes,ჩანაწერები,,,Qeydlər 
polling_station_form_wizard.notes.add.heading,Add a note,ჩანაწერის დამატება,,,Qeydin əlavə edilməsi
polling_station_form_wizard.notes.add.form.input.placeholder,Add any relevant notes to this question.,დაამატეთ ნებისმიერი რელევანტური შენიშვნა ამ შეკითხვაზე,,,Bu suala hər hansı müvafiq qeyd əlavə edin
polling_station_form_wizard.notes.add.form.input.max,"Input cannot exceed 10,000 characters","შეყვანილი ტექსტი არ უნდა აღემატებოდეს 10,000 სიმბოლოს",,,Daxil edilmiş mətn 10.000 simvoldan çox olmamalıdır
polling_station_form_wizard.notes.add.form.input.required,This field is required,ეს ველი სავალდებულო არ არის,,,Bu sütun məcburi deyil
polling_station_form_wizard.notes.edit.heading,Edit note,შენიშვნის დარედაქტირება,,,Qeydin redaktə edilməsi
polling_station_form_wizard.notes.edit.delete,Delete note,შენიშვნის წაშლა,,,Qeydin silinməsi
polling_station_form_wizard.notes.delete.title,Delete note,შენიშვნის წაშლა,,,Qeydin silinməsi
polling_station_form_wizard.notes.delete.description,"This action cannot be undone. Once deleted, a note cannot be retrieved.",ამ მოქმედებას ვეღარ შეცვლით. წაშლილი შენიშვნის აღდგენა შესაძლებელი არ არის,,,Bu əməliyyatı dəyişə bilməzsiniz. Silinmiş qeydi bərpa etmək mümkün deyil
polling_station_form_wizard.notes.delete.actions.cancel,Cancel,გაუქმება,,,Ləğv etmək
polling_station_form_wizard.notes.delete.actions.delete,Delete,წაშლა,,,Silmək
polling_station_form_wizard.warning_modal.question.title,Clear answer to question {{value}},{{value}} კითხვაზე პასუხის წაშლა,,,{{value}} Sualın cavabının silinməsi
polling_station_form_wizard.warning_modal.question.description,"Clearing the answer to this question will permanently delete all its information (including notes and media files), as well as all its connected questions. Question statuses will be reverted to Not Answered.","ამ კითხვაზე პასუხის წაშლა სამუდამოდ წაშლის მასზე ინფორმაციას (მათ შორის შენიშვნებსა და მედია ფაილებს), ასევე ყველა მასთან დაკავშირებულ კითხვას. კითხვების სტატუსი შეიცვლება „პასუხგაუცემელზე“.
",,,"Bu suala cavabın silinməsi onunla bağlı məlumatı (qeydlər və media fayllar daxil olmaqla), eləcə də bütün əlaqəli sualları həmişəlik siləcək. Sualların statusu ""Cavabsız"" olaraq dəyişəcək."
polling_station_form_wizard.warning_modal.question.actions.cancel,Cancel,გაუქმება,,,Ləğv etmək
polling_station_form_wizard.warning_modal.question.actions.clear,Clear answer,პასუხის წაშლა,,,Cavabın silinməsi
polling_station_form_wizard.warning_modal.attachment.title,Delete media file,მედია ფაილის წაშლა,,,Media faylın silinməsi
polling_station_form_wizard.warning_modal.attachment.description,"This action cannot be undone. Once deleted, a media file cannot be retrieved.",ამ მოქმედებას ვეღარ შეცვლით. წაშლილი მედია ფაილის აღდგენა შესაძლებელი არ არის,,,Bu əməliyyatı dəyişə bilməzsiniz. Silinmiş qeydi bərpa etmək mümkün deyil
polling_station_form_wizard.warning_modal.attachment.actions.cancel,Cancel,გაუქმება,,,Ləğv etmək
polling_station_form_wizard.warning_modal.attachment.actions.clear,Delete,წაშლა,,,Silmək
polling_station_form_wizard.warning_modal.unsaved_answer.title,Save changes to question,კითხვაზე ცვლილებების შენახვა,,,Sualdakı dəyişikliklərin yadda saxlanılması
polling_station_form_wizard.warning_modal.unsaved_answer.description,You have unsaved changes on this question. Do you want to save your changes before leaving?,"თქვენ ამ კითხვაზე გაქვთ შეუნახავი ცვლილებები. გსურთ კითხვის დატოვებამდე ცვლილებების შენახვა?
",,,Bu sualda yadda saxlanmamış dəyişiklikləriniz var. Sualı tərk etməzdən əvvəl dəyişiklikləri yadda saxlamaq istəyirsiniz?
polling_station_form_wizard.warning_modal.unsaved_answer.actions.cancel,Discard,უარყოფა,,,Təkzib etmək
polling_station_form_wizard.warning_modal.unsaved_answer.actions.save,Save changes,ცვლილებების შენახვა,,,Dəyişikliklərin yadda saxlanılması
polling_station_form_wizard.error,Error while loading question data!,"დაფიქსირდა შეცდომა კითხვის მონაცემების ჩატვირთვისას!
",,,Sual ilə bağlı məlumatlar yüklənərkən xəta baş verdi!
manage_my_polling_stations.empty.title,No visited polling stations yet,ჯერ არცერთი საარჩევნო უბანი არ არის არჩეული,,,Hələlik heç bir seçki məntəqəsinə baş çəkilməyib
manage_my_polling_stations.general_text,Manage my polling stations,"ჩემი საარჩევნო უბნების მართვა
",,,Mənim seçki məntəqələrimin idarə edilməsi
manage_my_polling_stations.ps_card.header,Polling station #{{value}},"საარჩევნო უბანი #{{value}}
",,,Seçki məntəqəsi #{{value}}
manage_my_polling_stations.ps_card.l1,[Location L1],[ლოკაცია L1],,,[Məkan L1]
manage_my_polling_stations.ps_card.l2,[Location L2],[ლოკაცია L2],,,[Məkan  L2]
manage_my_polling_stations.ps_card.l3,[Location L3],[ლოკაცია L3],,,[Məkan L3]
manage_my_polling_stations.ps_card.l4,[Location L4],[ლოკაცია L4],,,[Məkan L4]
manage_my_polling_stations.ps_card.l5,[Location L5],[ლოკაცია L5],,,[Məkan L5]
manage_my_polling_stations.ps_card.street,Street,ქუჩა,,,Küçə
manage_my_polling_stations.ps_card.ps_number,Polling station number,საარჩევნო უბნის ნომერი,,,Seçki məntəqəsinin nömrəsi
manage_my_polling_stations.warning_dialog.title,Remove Polling station #{{value}},#{{value}} საარჩევნო უბნის წაშლა,,,#{{value}} Seçki məntəqəsinin silinməsi
manage_my_polling_stations.warning_dialog.description,This action will remove the polling station from your list of visited polling stations. You can add it again through the Add New Polling Station process.,ეს მოქმედება წაშლის ამ საარჩევნო უბანს თქვენი მონახულებული უბნების სიიდან. მისი ხელახლა დამატება შეგიძლიათ ახალი საარჩევნო უბნის დამატების ფუნქციონალის მეშვეობით.,,,Bu fəaliyyət bu seçki  məntəqəsini sizin ziyarət etdiyiniz məntəqələrin siyahısından siləcək. Onun yenidən əlavə olunması yeni seçki məntəqəsinin əlavə edilməsi funksiyası vasitəsilə mümkündür.
manage_my_polling_stations.warning_dialog.actions.cancel,Cancel,გაუქმება,,,Ləğv etmək
manage_my_polling_stations.warning_dialog.actions.remove,Remove,წაშლა,,,Silmək
manage_my_polling_stations.warning_dialog.actions.loading,Loading...,იტვირთება...,,,Yüklənir...
manage_my_polling_stations.removal_unallowed_dialog.title,Removing polling station #{{value}} not allowed,"#{{value}} საარჩევნო უბნის ამოღება შეუძლებელია
",,,#{{value}} Seçki məntəqəsinin çıxarılması mümkün deyil
manage_my_polling_stations.removal_unallowed_dialog.description,"The polling station cannot be removed from your list because it contains data (Polling station information and/or Form answers) which cannot be deleted by the system on your behalf. If you want to remove this polling station, please clear polling station information and form answers manually, then retry this action.","საარჩევნო უბნის ამოღება თქვენი სიიდან შეუძლებელია, რადგან ის შეიცავს მონაცემებს (საარჩევნო უბნის ინფორმაცია და/ან ფორმის პასუხები), რომელთა წაშლა სისტემას თქვენი სახელით არ შეუძლია. თუ გსურთ ამ საარჩევნო უბნის ამოღება, გთხოვთ, ჯერ გაწმინდეთ საარჩევნო უბნის ინფორმაცია და ფორმის პასუხები ხელით, შემდეგ სცადეთ ხელახლა.
",,,"Sizin siyahıdan seçki məntəqəsini çıxarmaq mümkün deyil. Çünki o sistemin sizin adınızla silə bilməyəcəyi məlumatları (Seçki məntəqəsinin məlumatı və ya formanın cavabları) əhatə edir. Əgər bu seçki məntəqəsini çıxarmaq istəyirsinizsə, xahiş edirik, əvvəl əliniz ilə seçki məntqəsinin məlumatını və cavabları təmizləyin, sonra yenidən cəhd edin."
manage_my_polling_stations.delete_success,Polling station deleted successfully!,"საარჩევნო უბანი წარმატებით წაიშალა!
",,,Seçki məntəqəsi uğurla silindi!
manage_my_polling_stations.delete_error,We encountered a problem while deleting the polling station visit. Please try again.,"საარჩევნო უბნის მონახულების წაშლისას დაფიქსირდა პრობლემა. გთხოვთ, სცადოთ ხელახლა.
",,,"Seçki məntəqəsinə baş çəkmə silinərkən problem aşkarlandı. Xahiş edirik, yenidən cəhd edin."
manage_my_polling_stations.offline_error_toast_msg,You need an internet connection in order to perform this action.,"ამ მოქმედების შესასრულებლად გჭირდებათ ინტერნეტ კავშირი.
",,,Bu fəaliyyəti həyata keçirmək üçün sizə internet bağlantısı lazımdır.
quick_report.list.title,Quick Report,დარღვევის სწრაფი შეტყობინება,,,Pozuntu barədə sürətli bildiriş vermək
quick_report.list.heading,My reported issues,ჩემ მიერ გაგზავნილი დარღვევის სწრაფი შეტყობინებები,,,Mənim göndərdiyim pozuntular barədə sürətli bildirişlər
quick_report.list.error,Error while loading the reports!,დაფიქსირდა შეცდომა დარღვევის სწრაფი შეტყობინებების ჩატვირთვისას!,,,Pozuntu barədə sürətli bildirişlərin yüklənməsi zamanı xəta baş verdi!
quick_report.list.empty,"Start sending quick reports to the organization if you notice irregularities inside, outside the polling station or whenever needed.","თუ შეამჩნევთ დარღვევებს საარჩევნო უბნის შიგნით ან გარეთ, ან როცა საჭირო იქნება, გააგზავნეთ სწრაფი შეტყობინება ორგანიზაციაში
",,,"Əgər seçki məntəqəsinin daxilində və xaricində pozuntular qeydə alsanız, yaxud lazım olduğu halda,  təşkilata təcili bildriş göndərin"
quick_report.list.add,Report new issue,ახალი დარღვევის სწრაფი შეტყობინება,,,Yeni pozuntu barədə təcili bildiriş
quick_report.list.no_files,No attached files,"მიმაგრებული ფაილები არ არის
",,,Əlavə edilmiş fayllar yoxdur
quick_report.list.attachment_one,{{count}} attachment file,"{{count}} მიმაგრებული ფაილი
",,,{{count}}Əlavə edilmiş fayl
quick_report.list.attachment_other,{{count}} attachment files,"{{count}} მიმაგრებული ფაილი
",,,{{count}}Əlavə edilmiş fayl
quick_report.options_menu.manage_my_polling_stations,Manage my polling stations,"ჩემი საარჩევნო უბნების მართვა
",,,Mənim seçki məntəqəmin idarə edilməsi
report_new_issue.title,Report new issue,ახალი დარღვევის სწრაფი შეტყობინება,,,Yeni pozuntu barədə təcili bildiriş
report_new_issue.media.heading,Uploaded media,"ატვირთული მედია
",,,Yüklənmiş media
report_new_issue.media.add,Add media,მედია ფაილის დამატება,,,Media faylın əlavə edilməsi
report_new_issue.media.error,Error while sending the attachment!,დანართის გაგზავნისას დაფიქსირდა შეცდომა!,,,Əlavəni göndərən zaman xəta qeydə alındı!
report_new_issue.media.menu.load,Load from gallery,გალერეიდან ჩატვირთვა,,,Qalereyadan yükləmə
report_new_issue.media.menu.take_picture,Take a photo,ფოტოს გადაღება,,,Foto çəkmək
report_new_issue.media.menu.record_video,Record video,ვიდეოს გადაღება,,,Video çəkmək
report_new_issue.media.menu.upload_audio,Upload audio file,აუდიო ფაილის ატვირთვა,,,Audio faylın yüklənməsi
report_new_issue.form.polling_station_id.label,Polling station *,საარჩევნო უბანი *,,,Seçki məntəqəsi*
report_new_issue.form.polling_station_id.placeholder,Select polling station,აირჩიეთ საარჩევნო უბანი,,,Seçki məntəqəsini seçin
report_new_issue.form.polling_station_id.extra,"Please write here some identification details for this polling station (such as address, name, number, etc.)","გთხოვთ, აქ მიუთითოთ ამ საარჩევნო უბნის მაიდენტიფიცირებელი დეტალები (როგორიცაა მისამართი, სახელი, ნომერი და სხვა)
",,,"Xahiş edirik, burada bu seçki məntəqəsinə aid detalları qeyd edin (ünvan, ad, nömrə və s. kimi"
report_new_issue.form.polling_station_id.required,This field is required.,ეს ველი სავალდებულოა.,,,Bu sütun mütləqdir
report_new_issue.form.polling_station_id.options.other,Other polling station,სხვა საარჩევნო უბანი,,,Başqa seçki məntəqəsi
report_new_issue.form.polling_station_id.options.not_related,Not related to a polling station,არ არის საარჩევნო უბანთან დაკავშირებული,,,Seçki məntəqəsi ilə əlaqədar deyil
report_new_issue.form.polling_station_details.label,Polling station details *,საარჩევნო უბნის დეტალები *,,,Seçki məntəqəsinin detalları
report_new_issue.form.polling_station_details.placeholder,"Please write here some identification details for this polling station (such as address, name, number, etc.)","გთხოვთ, აქ მიუთითოთ ამ საარჩევნო უბნის მაიდენტიფიცირებელი დეტალები (როგორიცაა მისამართი, სახელი, ნომერი და სხვა)
",,,"Xahiş edirik, burada bu seçki məntəqəsinə aid detalları qeyd edin (ünvan, ad, nömrə və s. kimi"
report_new_issue.form.polling_station_details.required,This field is required.,ეს ველი სავალდებულოა.,,,Bu sütun mütləqdir
report_new_issue.form.polling_station_details.max,Input cannot exceed {{value}} characters,შეყვანილი ტექსტი არ უნდა აღემატებოდეს {{value}} სიმბოლოს,,,Əlavə edilən mətn {{value}} simvoldan artıq olmamalıdır
report_new_issue.form.issue_title.label,Title of issue *,დარღვევის სათაური,,,Pozuntunun başlığı
report_new_issue.form.issue_title.placeholder,Write a title for the issue.,დაწერეთ დარღვევის სათაური.,,,Pozuntunun başlığını yazın
report_new_issue.form.issue_title.required,Title of the issue is required,დარღვევის სათაური სავალდებულოა,,,Pozuntunun başlığını yazmaq mütləqdir
report_new_issue.form.issue_title.max,Input cannot exceed {{value}} characters,შეყვანილი ტექსტი არ უნდა აღემატებოდეს {{value}} სიმბოლოს,,,Əlavə edilən mətn {{value}} simvoldan artıq olmamalıdır
report_new_issue.form.issue_description.label,Description *,აღწერა *,,,Təsvir*
report_new_issue.form.issue_description.placeholder,Describe the situation in detail here.,"გთხოვთ, აქ აღწეროთ სიტუაცია დეტალურად",,,"Xahiş edirik, vəziyyəti burada ətraflı şəkildə təsvir edəsiniz"
report_new_issue.form.issue_description.required,Description of the issue is required,დარღვევის აღწერა სავალდებულოა,,,Pozuntunu təsvir etmək mütləqdir
report_new_issue.form.issue_description.max,Input cannot exceed {{value}} characters,შეყვანილი ტექსტი არ უნდა აღემატებოდეს {{value}} სიმბოლოს,,,Əlavə edilən mətn {{value}} simvoldan artıq olmamalıdır
report_new_issue.form.submit,Submit issue,გაგზავნა,,,Göndərmək
report_new_issue.form.clear,Clear,გასუფთავება,,,Təmizləmək
report_new_issue.form.loading,Processing...,მუშავდება..,,,İşlənir...
report_new_issue.form.error,Error while adding the report,ანგარიშის დამატებისას დაფიქსირდა შეცდომა,,,Hesabatı əlavə edərkən xəta qeydə alındı
report_details.title,,,,,
report_details.uploaded_media,Uploaded media,ატვირთული მედია,,,Yüklənmiş media
report_details.no_files,No attached files,თანდართული ფაილები არ არის,,,Əlavə fayllar yoxdur
report_details.error,Error while loading the report,ანგარიშის ჩატვირთვისას დაფიქსირდა შეცდომა,,,Hesabatı əlavə edərkən xəta qeydə alındı
guides.title,Guides,გზამკვლევები,,,Bələdçilər
guides.empty.heading,No guides to read yet,გზამკვლევი ჯერ არ არის დამატებული,,,Bələdçi hələ əlavə edilməyib
guides.empty.paragraph,Guides and resources from your organization at your hands.,,,,
guides.list.heading,Guides,გზამკვლევები,,,Bələdçilər
guides.list.guide.backup_title,Document,დოკუმენტი,,,Sənəd
guides.list.guide.created_on,Created on,შექმნილია,,,Yaradılıb
guides.options_sheet.manage_my_polling_stations,Manage my polling stations,ჩემი საარჩევნო უბნების მართვა,,,Mənim seçki məntəqələrimin idarə edilməsi
inbox.title,Inbox,შეტყობინებები,,,Bildirişlər
inbox.empty.heading,No message received yet,"შეტყობინებები ჯერ არ არის მიღებული
",,,Bildirişlər hələ qəbul edilməyib
inbox.empty.paragraph,Push messages and alerts from your organization will appear here.,აქ გამოჩნდება შეტყობინებები და გაფრთხილებები თქვენი ორგანიზაციიდან  ,,,Burada sizin təşkilatdan bildirişlər və xəbərdarlıqlar görünəcək
inbox.banner,Messages from {{ngoName}},"შეტყობინებები {{ngoName}}-დან
",,, {{ngoName}}-dən bildirişlər
inbox.today,Today,დღეს,,,Bu gün
inbox.your_organization,your organization,თქვენი ორგანიზაცია,,,Sizin təşkilat
inbox.menu.manage_polling_stations,Manage my polling stations,ჩემი საარჩევნო უბნების მართვა,,,Mənim seçki məntəqələrimin idarə edilməsi
more.title,More,მეტი,,,Daha artıq
more.change-language,Change app language,აპლიკაციის ენის შეცვლა,,,Aplikasiya dilinin dəyişdirilməsi
more.change-password,Change password,პაროლის შეცვლა,,,Parolun dəyişdirilməsi
more.terms,Terms and Conditions,წესები და პირობები,,,Qaydalar və şərtlər
more.privacy_policy,Privacy Policy,კონფიდენციალურობის პოლიტიკა,,,Gizlilik siyasəti
more.about,About Vote Monitor,"Vote Monitor-ის შესახებ
",,,Vote Monitor haqqında
more.app_version,Vote Monitor version {{value}},"Vote Monitor-ის ვერსია {{value}}
",,,Vote Monitor versiyası  {{value}}
more.support,Call the NGO Hotline,"არასამთავრობო ორგანიზაციის ცხელ ხაზზე დარეკვა
",,,Qeyri-hökumət təşkilatının qaynar xəttinə zəng vurmaq
more.feedback,Offer app feedback,უკუკავშირი აპლიკაციის შესახებ,,,Qarşılıqlı əlaqə aplikasiyası haqqında
more.logout,Logout,გამოსვლა,,,Çıxış
more.logged_in,Logged in as {{user}},შესული ხართ როგორც  {{user}},,,{{user}} olaraq daxil olubsunuz
more.warning_modal.logout_offline.title,Attention: You have unsynced data,ყურადღება: თქვენ გაქვთ დაუსინქრონიზებული მონაცემები,,,Diqqət: Sizin məlumatlar sinxronizasiya olunmayıb
more.warning_modal.logout_offline.description,"You are currently offline. If you log out now, any forms, attachments, or notes you have completed or uploaded during the offline mode will be lost.

To avoid losing your data, please reconnect to the internet before logging out.","ამჟამად, თქვენ ხართ ოფლაინ რეჟიმში. თუ ახლა გამოხვალთ სისტემიდან, ნებისმიერი ფორმა, თანდართული ფაილი, თუ შენიშვნა, რომელიც ოფლაინ რეჟიმში ყოფნის დროს შეავსეთ ან ატვირთეთ, დაიკარგება. 
მონაცემთა დაკარგვის თავიდან ასაცილებლად, გთხოვთ, გამოსვლამდე დაუკავშირდით ინტერნეტს და მხოლოდ ამის შემდეგ გამოხვიდეთ. ",,,"Hazırda oflayn rejimdəsiniz. Əgər indi sistemdən çıxsanız oflayn rejimdə olduğunuz zaman doldurduğunuz və ya yüklədiyiniz  hər hansı forma, əlavə fayl, yaxud qeyd itəcək. Məlumatların itirilməsinin qarşısını almaq üçün xahiş edirik, çıxış edənə kimi internet bağlantı yaradın və yalnız bundan sonra çıxa bilərsiniz. "
more.warning_modal.logout_offline.cancel,Cancel,გაუქმება,,,Ləğv etmək
more.warning_modal.logout_offline.action,Logout,გამოსვლა,,,Çıxış
more.warning_modal.logout_online.title,Are you sure you want to logout?,"დარწმუნებული ხართ, რომ გამოსვლა გსურთ?",,,Çıxmaq istədiyinizdən əminsiniz?
more.warning_modal.logout_online.cancel,Cancel,გაუქმება,,,Ləğv etmək
more.warning_modal.logout_online.action,Logout,გამოსვლა,,,Çıxış
more.feedback_toast.success,Feedback sent!,უკუკავშირი გაიგზავნა!,,,Əlaqə göndərildi!
more.feedback_toast.offline,You need an internet connection in order to perform this action.,ამ მოქმედების შესასრულებლად საჭიროა კავშირი ინტერნეტთან.,,,Bu fəaliyyəti yerinə yetirmək üçün internet bağlantısı lazımdır.
more.feedback_toast.error,Error while adding feedback!,უკუკავშირის დამატებისას დაფიქსირდა შეცდომა!,,,Qarşılıqlı əlaqə zamanı xəta qeydə alındı!
more.feedback_toast.required,This field is required,ეს ველი სავალდებულოა,,,Bu sütun mütləqdir
more.feedback_sheet.heading,Send us your feedback,გამოგვიგზავნეთ თქვენი უკუკავშირი,,,Öz rəyinizi göndərin
more.feedback_sheet.p1,"Please tell us about any issues you might have encountered with the functioning of the app, or any suggestions you would like to share to improve Vote Monitor for the future. We appreciate every feedback!","გთხოვთ, მოგვიყევით იმ ხარვეზების შესახებ, რასაც აპლიკაციის ფუნქციონირებისას წააწყდით, ან გაგვიზიარეთ რეკომენდაციები, თუ როგორ შეგვიძლია Vote Monitor-ის გაუმჯობესება მომავალში. ვაფასებთ თითოეულ უკუკავშირს!
",,,"Xahiş edirik, aplikasiyanın fəaliyyəti zamanı qarşılaşdığınız çatışmazlıqlar barədə bizə bildirin, yaxud Vote Monitorun gələcəkdə təkmilləşdirilməsi ilə bağlı tövsiyələrinizi bölüşün. Hər bir rəy bizim üçün dəyərlidir!"
more.feedback_sheet.placeholder,Write your feedback here...,აქ დაწერეთ თქვენი უკუკავშირი..,,,Burada öz rəyinizi yazın...
more.feedback_sheet.cancel,Cancel,გაუქმება,,,Ləğv etmək
more.feedback_sheet.action,Send,გაგზავნა,,,Göndərmək
more.feedback_sheet.input.max,Input cannot exceed {{value}} characters,შეყვანილი ტექსტი არ უნდა აღემატებოდეს {{value}} სიმბოლოს,,,Əlavə edilmiş mətn  {{value}}  simvoldan artıq olmamalıdır
more.options_sheet.manage_my_polling_stations,Manage my polling stations,ჩემი საარჩევნო უბნების მართვა,,,Mənim seçki məntəqələrimin idarə edilməsi
change_password.title,Change password,პაროლის შეცვლა,,,Parolun dəyişdirilməsi
change_password.form.current_password.label,Current password *,არსებული პაროლი *,,,Mövcud parol*
change_password.form.current_password.placeholder,Insert current password,შეიყვანეთ თქვენი არსებული პაროლი,,,Mövcud parolunuzu yazın
change_password.form.current_password.required,Password is mandatory,პაროლი სავალდებულოა,,,Parol mütləqdir
change_password.form.current_password.credentials_error,The current password is incorrect,არსებული პაროლი არასწორია,,,Mövcud parol səhvdir
change_password.form.new_password.label,New password *,ახალი პაროლი,,,Yeni parol
change_password.form.new_password.placeholder,Insert new password,შეიყვანეთ ახალი პაროლი,,,Yeni parolu yazın
change_password.form.new_password.helper,Must be at least 8 characters,უნდა შეიცავდეს მინიმუმ 8 სიმბოლოს,,,Ən az 8 simvoldan ibarət olmalıdır
change_password.form.new_password.required,Password is mandatory,პაროლი აუცილებელია,,,Parol mütləqdir
change_password.form.confirm_password.label,Confirm new password *,დაადასტურეთ ახალი პაროლი *,,,Yeni parolu təsdiq edin*
change_password.form.confirm_password.placeholder,Confirm password,დაადასტურეთ პაროლი,,,Parolu təsdiq edin
change_password.form.confirm_password.helper,Both passwords must match.,ორივე პაროლი უნდა ემთხვეოდეს ერთმანეთს,,,İki parol bir-birinə uyğun gəlməlidir
change_password.form.confirm_password.required,Password is mandatory,პაროლი სავალდებულოა,,,Parol mütləqdir
change_password.form.confirm_password.no_match,Passwords do not match,პაროლები ერთმანეთს არ ემთხვევა,,,Parollar bir-birinə uyğun deyil
change_password.form.save,Save new password,შეინახეთ ახალი პაროლი,,,Yeni parolu yadda saxlayın
change_password.confirmation.heading,Password changed!,პაროლი შეცვლილია!,,,Parol dəyişdirildi!
change_password.confirmation.paragraph,Your password has been successfully changed.,თქვენი პაროლი წარმატებით შეიცვალა.,,,Sizin parol uğurla dəyişdirildi.
change_password.confirmation.confirm,Back to app,აპლიკაციაში დაბრუნება,,,Aplikasiyaya qayıtmaq
change_password.error.offline,App is offline and cannot do the request,ამ მომენტისათვის აპლიკაცია არ არის დაკავშირებული ინტერნეტთან და ამ მოთოვნას ვერ შეასრულებს,,,Hazırda aplikasiya internetlə əlaqədə deyil və bu tələbi yerinə yetirə bilməz
generic_error_screen.paragraph1,"Oops, something went wrong!","უპს, დაფიქსირდა შეცდომა!
",,,"Ups, xəta qeydə alındı!"
generic_error_screen.paragraph2,We could not recover after this error. Please check your internet connection and restart the application!,"ამ შეცდომის შემდეგ ვერ მოხერხდა აღდგენა. გთხოვთ, შეამოწმეთ თქვენი ინტერნეტ-კავშირი და აპლიკაცია ხელახლა გახსენით!
",,,"Bu xətadan sonra bərpa mümkün olmadı. Xahiş edirik, öz internet əlaqənizi yoxlayın və aplikasiyanı yenidən açın!"
generic_error_screen.retry,Retry,ხელახლა სცადეთ,,,Yenidən cəhd edin
generic_error_screen.logout,Logout,გამოსვლა,,,Çıxış
network_banner.online,App online. All answers sent to server.,აპლიკაცია არის ონლაინ რეჟიმში. ყველა პასუხი გაიგზავნა სერვერზე.,,,Aplikasiya onlayn rejimdədir. Bütün cavablar serverə göndərilib.
network_banner.offline,Offline mode. Saving answers locally.,აპლიკაცია არის ოფლაინ რეჟიმში. პასუხები შენახულია მხოლოდ ადგილობრივად.,,,Aplikasiya oflayn rejimdədir. Cavablar yalnız yerində saxlanılıb.
network_banner.more_details,More Details,მეტი დეტალები,,,Daha artıq detallar
network_banner.offline_warning,"It looks like you're currently offline. Don't worry, your answers are safely stored locally and will be synced with our servers once your connection is restored. Feel free to continue filling out the observation forms and submitting quick reports.","როგორც ჩანს, ამჟამად ოფლაინ ხართ. არ ინერვიულოთ, თქვენი პასუხები უსაფრთხოდ არის შენახული ადგილობრივად და სერვერზე სინქრონიზაცია მოხდება, როდესაც ინტერნეტთან კავშირი აღდგება. თავისუფლად განაგრძეთ დაკვირვების ფორმების შევსება და ინციდენტების გაგზავნა.
",,,"Görünür hazırda oflyansınız. Narahat olmayın, sizin cavablar təhlükəsiz şəkildə yerində saxlanılıb və internet ilə bağlantı yarananda serverdə sinxronlaşdırılacaq. Müşahidə formalarının doldurulmasına və insidentlərin göndərilməsinə sərbəst şəkildə davam edin."
sync.sync_data,Synchronizing offline data...,ოფლაინ მონაცემების სინქრონიზაცია..,,,Oflayn məlumatların sinxronizasiyası...
sync.warning,Please DO NOT CLOSE the app or the internet connection or the data will be lost.,"გთხოვთ, არ დახუროთ აპლიკაცია და არ გათიშოთ ინტერნეტი, თორემ მონაცემები დაიკარგება.",,,"Xahiş edirik, aplikasiyanı və interneti bağlamayın. Yoxsa məlumatlar itəcək."
sync.files,"We are uploading your files, it may take a while...","თქვენი ფაილები იტვირთება, ამას შესაძლოა დასჭირდეს დრო..",,,"Sizin fayllar yüklənir, buna zaman lazım ola bilər"